Name,card_title,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Data_Model_mapping,has_github_repo,github_repo_link,org_name,repo_name,open_source_license
cql,CQL++,CQL++ is a SQL and B+tree/ISAM database management system providing a single user or client/server.,Relational,,"Shared-Everything,Embedded",http://www.cql.com,http://www.cql.com/cql.html,,Machine Independent Software Corporation,US,1994,2011,"Commercial,Open Source",C++,C++,,"GPL v2,Proprietary","Linux,Windows",Relational,,,,,Y
cqlite,CQLite,CQLite is an embedded graph DBMS implemented in Rust.,Graph,Cypher,Embedded,https://crates.io/crates/cqlite,https://github.com/dyedgreen/cqlite,,Tilman Roeder,GB,2021,,"Hobby,Open Source",Rust,Rust,,MIT,Linux,Graph,Y,dyedgreen/cqlite,dyedgreen,cqlite,Y
cratedb,CrateDB,"CrateDB is an open-source, distributed, shared-nothing SQL database system developed by Crate.io, built on top of a variety of open source projects. Some of these projects include Facebook’s Presto SQL parser and the Apache Lucene search library. The system's target workload is machine-generated IoT data, particularly for operational analytics applications.",,"SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,https://crate.io/,https://github.com/crate/crate,https://crate.io/docs/,Crate.io,AT,2014,,"Commercial,Open Source",Java,,Lucene,Apache v2,All OS with Java VM,,Y,crate/crate,crate,crate,Y
csql,CSQL,CSQL is an open-source in-memory relational DBMS.,Relational,,,http://www.csqldb.com/,http://sourceforge.net/projects/csql,,LAKSHYA Solutions Limited,IN,2005,2008,"Commercial,Open Source",,SQL,,GPL v2,,Relational,,,,,Y
c-store,C-Store,"C-Store is a column-oriented DBMS designed for read-optimized OLAP workloads. It adopts a column store architecture, explores various DSM compression schemes and corresponding query optimization strategies, stores data in overlapping collections of projections for both performance and availability, and employs other optimizations specific to column store. (Please delete anything in parenthesis as it is used to point out ambiguity)",Relational,SQL,Shared-Nothing,http://db.csail.mit.edu/projects/cstore/,,,"Massachusetts Institute of Technology, Brown University",US,2005,2008,"Academic,Open Source",C++,C++,,BSD,Linux,Relational,,,,,Y
cubicweb,CubicWeb,,Graph,Custom API,,http://www.cubicweb.org/,https://www.cubicweb.org/project,https://docs.cubicweb.org/,Logilab,FR,2000,,Open Source,Python,,,LGPL v2,,Graph,,,,,Y
cubrid,Cubrid,"CUBRID is an open-source object-relational OLTP database management system under GPL/BSD license, developed and owned by NHN Corporation. It is optimized for web services with its multi-threaded, multi-server architecture, native borker middleware, Multiversion Concurrency Control, cost-based query optimizer and High Availability feature.",Object-Relational,"Custom API,SQL,Stored Procedures,Command-line / Shell",Shared-Nothing,http://www.cubrid.org/,https://github.com/CUBRID/cubrid,https://www.cubrid.org/documentation/manuals,Naver Corporation,KR,2008,,Open Source,C,"C,Java,JavaScript,Perl,PHP,Python,Ruby",,"BSD,GPL v2","Linux,Windows","Object oriented,Relational",Y,CUBRID/cubrid,CUBRID,cubrid,Y
curiodb,CurioDB,"CurioDB is a distributed and persistent NoSQL database that is compatible with Redis. It uses,Akka,persistence storage layer to read/write data from,LevelDB,.",Key/Value,Custom API,Shared-Nothing,http://curiodb.jupo.org/,https://github.com/stephenmcd/curiodb,,Stephen McDonald,AU,2015,,Open Source,Scala,,LevelDB,BSD,Linux,Key-value,Y,stephenmcd/curiodb,stephenmcd,curiodb,Y
cursusdb,CursusDB,CursusDB is an in-memory document-oriented DBMS that supports SQL.,Document / XML,SQL,Shared-Everything,https://cursusdb.com/,https://github.com/cursusdb/cursusdb,https://cursusdb.com/documentation,Alex Padula,CA,2023,,"Hobby,Open Source",Go,Go,,GPL v3,"BSD,Linux,OS X,Windows",Document,Y,cursusdb/cursusdb,cursusdb,cursusdb,Y
dalmatinerdb,DalmatinerDB,DalmatinerDB is a metric database built on Riak.,,,,https://dalmatiner.io/,https://gitlab.com/Project-FiFo/DalmatinerDB/dalmatinerdb,https://dalmatiner.readme.io/docs,Project FiFo,DE,2014,,Open Source,Erlang,,,MIT,,,,,,,Y
dare-db,Dare-DB,"Dare-DB (sometimes referred to as ""DareDB"") is an in-memory DBMS written in Go based on hash tables inspired from Redis.",Key/Value,HTTP / REST,Shared-Everything,https://dmarro89.github.io/daredb-docs/,https://github.com/dmarro89/dare-db,https://dmarro89.github.io/daredb-docs/,Davide Marro,IT,2024,,"Hobby,Open Source",Go,,,MIT,Linux,Key-value,Y,dmarro89/dare-db,dmarro89,dare-db,Y
databend,Databend,Databend is distributed SQL execution engine for shared-disk storage.,Relational,SQL,Shared-Disk,https://databend.rs/,https://github.com/datafuselabs/databend,https://databend.rs/overview/building-and-running/,Datafuse Labs,CN,2020,,"Commercial,Open Source",Rust,,,Apache v2,"Hosted,Linux",Relational,Y,datafuselabs/databend,datafuselabs,databend,Y
datafusion,DataFusion,DataFusion is an extensible framework for planning and executing SQL queries.,Relational,SQL,Shared-Everything,https://arrow.apache.org/datafusion/,https://github.com/apache/arrow-datafusion,https://docs.rs/datafusion/latest/datafusion/,,US,2016,,Open Source,Rust,,,Apache v2,,Relational,Y,apache/arrow-datafusion,apache,arrow-datafusion,Y
datahike,Datahike,"Datahike is a Datalog DBMS designed to be similar to,Datomic,.",,Datalog,Shared-Everything,https://datahike.io/,https://github.com/replikativ/datahike,https://github.com/replikativ/datahike/wiki,lambdaforge UG,DE,2018,,Open Source,Clojure,,,Eclipse Public License,,,Y,replikativ/datahike,replikativ,datahike,Y
datalevin,Datalevin,Datalevin is a Datalog DBMS written in Clojure. It started out as a port of Datascript using LMDB.,Document / XML,Datalog,Shared-Everything,https://github.com/juji-io/datalevin,https://github.com/juji-io/datalevin,https://github.com/juji-io/datalevin/tree/master/doc,Huahai Yang,US,2020,,"Hobby,Open Source",Clojure,Clojure,LMDB,Eclipse Public License,All OS with Java VM,Document,Y,juji-io/datalevin,juji-io,datalevin,Y
datascript,DataScript,DataScript is an immutable in-memory database and Datalog query engine in Clojure and ClojureScript.,Key/Value,Datalog,,https://github.com/tonsky/datascript,https://github.com/tonsky/datascript,https://github.com/tonsky/datascript/wiki,Nikita Prokopov,RU,2014,,Open Source,Clojure,,,Eclipse Public License,,Key-value,Y,tonsky/datascript,tonsky,datascript,Y
db4o,db4o,"db4o (""database for objects"") was an embeddable open-source object DBMS for Java and .NET environment.",Object-Oriented,,Embedded,http://www.db4o.com/,https://github.com/pegurnee/db4o,,db4objects Inc.,US,2000,2014,"Commercial,Open Source",,,,"GPL v2,Proprietary","All OS with Java VM,Windows",Object oriented,Y,pegurnee/db4o,pegurnee,db4o,Y
db5,DB5,"DB5 (sometimes referred to as ""Vector5db"") is an embedded vector DBMS that supports nearest-neighbor search.","Document / XML,Vector",Custom API,Embedded,https://vector5.ai/vector-database/,https://github.com/vector5ai/vector5db/,,Vector5,PL,2023,,Open Source,TypeScript,TypeScript,,MIT,,"Document,Vector",Y,vector5ai/vector5db,vector5ai,vector5db,Y
dbeel,dbeel,dbeel is a hobby project to build a document-oriented DBMS in Rust.,Document / XML,Custom API,Shared-Everything,https://github.com/tontinton/dbeel,https://github.com/tontinton/dbeel,,Tony Solomonik,IL,2023,,"Hobby,Open Source",Rust,,,Apache v2,,Document,Y,tontinton/dbeel,tontinton,dbeel,Y
dbreeze,DBreeze,DBreeze is a C# multi-model NoSQL DBMS.,"Key/Value,Document / XML",Custom API,,http://dbreeze.tiesky.com/,https://github.com/hhblaze/DBreeze,https://docs.google.com/document/pub?id=1IFkXoX3Tc2zHNAQN9EmGSXZGbQabMrWmpmVxFsLxLsw,Alexey Solovyov,DE,2012,,Open Source,C#,,,BSD,"Linux,OS X,Windows","Key-value,Document",Y,hhblaze/DBreeze,hhblaze,DBreeze,Y
dbx1000,DBx1000,DBx1000 is an experimental single-node OLTP DBMS designed to evaluate concurrency control protocols on future 1000-core processors. All transactions execute as embedded stored procedures.,Relational,,Shared-Everything,https://github.com/yxymit/DBx1000,https://github.com/yxymit/DBx1000,,"Massachusetts Institute of Technology, Carnegie Mellon University",US,2014,,"Academic,Open Source","Assembly,C++",C++,,ISC License,Linux,Relational,Y,yxymit/DBx1000,yxymit,DBx1000,Y
deepdb,DeepDB,"DeepDB (also sometimes called DeepSQL near the end of the project) was a proprietary MySQL storage engine designed for OLAP and OLTP workloads. It was designed to be an alternative to the InnoDB storage engine for MySQL. Intended to scale MySQL to large scale data operations, it utilizes adaptive data structures and machine learning algorithms to optimize transactional workloads at a big data scale. Different from classic B+Tree and LSM-Tree based storage engines, DeepDB is built on top of a new tree structure, called CASSI (Continuous Adaptive Sequential Summarization of Info), which dynamically configures the database during runtime to adapt to new hardware deployments. CASSI keeps running the three steps of analysis, adaption, and optimization for high efficiency. Therefore, this storage engine allows enterprises to utilize MySQL without manual configuration under new hardware settings.",Relational,SQL,Shared-Everything,http://deep.is,https://github.com/DeepFound/deep_engine,,"Deep Information Sciences, Inc.",US,2010,2017,"Commercial,Open Source",C++,,,"AGPL v3,Proprietary",,Relational,Y,DeepFound/deep_engine,DeepFound,deep_engine,Y
defradb,DefraDB,DefraDB is a document-oriented database based on CRDTs.,Document / XML,GraphQL,Shared-Nothing,https://github.com/sourcenetwork/defradb,https://github.com/sourcenetwork/defradb,https://docs.source.network/,"Source, Inc.",CA,2019,,"Commercial,Open Source",Go,,,Business Source License,Linux,Document,Y,sourcenetwork/defradb,sourcenetwork,defradb,Y
degdb,DegDB,"DegDB (""Distributed Economic Graph Database"") is a graph database management system where every request has either a debit (with attached bitcoin) or a credit (with bitcoin promised on delivery) payment system. The DBMS's server nodes estimate how much it will cost to serve the data; if there is not enough bitcoin attached to service the request, then the node will drop the request.",Graph,,,https://degdb.co,https://github.com/degdb/degdb,https://docs.google.com/document/d/1Z1zUMOGzsBLOU1JoeY-CLFI9eSMajrnQraBvSybjP8I/edit,Tristan Rice,CA,2015,,Open Source,Go,,,MIT,,Graph,Y,degdb/degdb,degdb,degdb,Y
delta-lake,Delta Lake,"Delta Lake is an open-source storage layer for big data workloads. It provides ACID transactions for batch/streaming data pipelines reading and writing data concurrently. Developed from Databricks, it is highly compatible with Apache Spark API and can be incorporated on top of AWS S3, Azure Data Lake Storage, or HDFS.",Column Family / Wide-Column,,Shared-Disk,https://delta.io/,https://github.com/delta-io/delta,https://docs.delta.io/latest/index.html,Databricks,US,2019,,"Commercial,Open Source",Scala,"Java,Python,Scala,SQL",,Apache v2,,Wide column,Y,delta-io/delta,delta-io,delta,Y
densodb,DensoDB,DensoDB (DotNet NoSQL DataBase) is NoSQL document database written for .Net environment.,Document / XML,,,http://densodb.codeplex.com,https://github.com/teamdev/densodb,,Paolo Possanzini,IT,2012,2013,Open Source,C#,,,,,Document,Y,teamdev/densodb,teamdev,densodb,Y
derby,Derby,Derby is a lightweight embedded relational database implemented completely in Java. It is an embedded database for any Java applications.,Relational,SQL,Embedded,https://db.apache.org/derby/,https://github.com/apache/derby,http://db.apache.org/derby/manuals/index.html,Cloudscape Inc.,US,1997,,Open Source,Java,Java,,Apache v2,All OS with Java VM,Relational,Y,apache/derby,apache,derby,Y
deveeldb,DeveelDB,DeveelDB is an embedded relational DBMS for .NET/Mono frameworks.,Relational,SQL,Embedded,https://db.deveel.org/,https://github.com/deveel/deveeldb,,Deveel,NO,2009,2022,Open Source,,C#,,Apache v2,,Relational,Y,deveel/deveeldb,deveel,deveeldb,Y
dgraph,DGraph,Dgraph is a distributed graph database that supports GraphQL. It emphasizes concurrency in distributed environment by minimizing network calls.,Graph,GraphQL,Shared-Nothing,https://dgraph.io/,https://github.com/dgraph-io/dgraph,https://dgraph.io/docs/,"DGraph Labs, Inc",US,2015,,"Commercial,Open Source",Go,Go,BadgerDB,Apache v2,"Linux,OS X",Graph,Y,dgraph-io/dgraph,dgraph-io,dgraph,Y
dicedb,DiceDB,"DiceDB is an in-memory, multi-threaded key-value DBMS that supports the Redis protocol.",Key/Value,"Custom API,HTTP / REST",Shared-Everything,https://dicedb.io/,https://github.com/dicedb/dice,https://dicedb.io/get-started/installation/,Arpit Bhayani,IN,2022,,"Hobby,Open Source",,Go,,Business Source License,,Key-value,Y,dicedb/dice,dicedb,dice,Y
dolt,Dolt,"Dolt is a single-node and embedded DBMS that incorporates Git-style versioning as a first-class entity. Dolt behaves like Git where it is a content addressable local database where the main objects are tables instead of files. In Dolt, a user creates a database locally. The database contains tables that can be read and updated using SQL. Similar to Git, writes are staged until the user issues a commit. Upon commit, the writes are appended to permanent storage. Branch/merge semantics are supported allowing for the tables to evolve at a different pace for multiple users. This allows for loose collaboration on data as well as multiple views on the same core data. Merge conflicts are detected for schema and data conflicts. Data conflicts are cell-based, not line-based. Remote repositories allow for cooperation among repository instances. Clone, push, and pull semantics are all available. DoltHub Inc also created,Dolthub, a website to host Dolt databases similar to GitHub.",Relational,"Custom API,SQL,Command-line / Shell","Shared-Everything,Embedded",https://www.dolthub.com,https://github.com/dolthub/dolt,https://docs.dolthub.com/,DoltHub Inc,US,2018,,Open Source,Go,,,Apache v2,"Linux,OS X,Windows",Relational,Y,dolthub/dolt,dolthub,dolt,Y
doris,Doris,Doris is a parallel SQL data warehouse developed by Baidu.,Relational,SQL,,https://doris.apache.org/,https://github.com/apache/incubator-doris,https://github.com/apache/incubator-doris/wiki,Baidu,CN,2017,,Open Source,C++,,,Apache v2,Linux,Relational,Y,apache/incubator-doris,apache,incubator-doris,Y
doxa,Doxa,Doxa is an in-memory document-oriented DBMS.,Document / XML,Custom API,Embedded,https://cljdoc.org/d/com.github.ribelo/doxa/,https://github.com/ribelo/doxa,,Rafal Krzywaznia,PL,2021,,"Hobby,Open Source",Clojure,Clojure,,Public Domain,,Document,Y,ribelo/doxa,ribelo,doxa,Y
dqlite,Dqlite,"Dqlite (""distributed SQLite"") is a portable C library that provides a shared-nothing DBMS. It uses SQLite as its internal storage manager. It allows applications to be highly available without any dependence on external databases but SQLite. Devices such as IoT or Edge nodes are appropriate use-cases for it. There is currently a Go library,go-dqlite,available to demonstrate binding with the Dqlite's C code and serve as a fully functional client written in Go.",Relational,SQL,Shared-Nothing,https://dqlite.io/,https://github.com/canonical/dqlite,https://dqlite.io/docs/,Canonical,IT,2017,,Open Source,C,C,SQLite,Apache v2,,Relational,Y,canonical/dqlite,canonical,dqlite,Y
dragonfly,Dragonfly,Dragonfly is an in-memory key-value store designed to be a multi-threaded version of Redis.,Key/Value,Custom API,Shared-Everything,https://dragonflydb.io,https://github.com/dragonflydb/dragonfly,https://www.dragonflydb.io/docs,Attos Technologies Ltd.,IL,2021,,"Commercial,Open Source",C++,,,Business Source License,"Hosted,Linux",Key-value,Y,dragonflydb/dragonfly,dragonflydb,dragonfly,Y
dremio,Dremio,Dremio is a distributed OLAP system inspired by Google's Dremel / BigQuery system.,Relational,SQL,Shared-Disk,https://www.dremio.com/,https://github.com/dremio/dremio-oss,https://docs.dremio.com/,Dremio,US,2015,,"Commercial,Open Source",Java,,,Apache v2,"Hosted,Linux",Relational,Y,dremio/dremio-oss,dremio,dremio-oss,Y
drill,Drill,"Drill is a database system designed for Big Data exploration. It is an open-source, distributed SQL query system based on Google's Dremel query system, and it features a columnar execution engine. Drill is the only distributed SQL engine in the world that does not require schemas. It supports the querying of many NoSQL databases and file systems, with the ability to join data from different types of datastores within the same query.",Column Family / Wide-Column,"SQL,HTTP / REST",Shared-Nothing,https://drill.apache.org,https://github.com/apache/drill,https://drill.apache.org/docs/,Apache Foundation,US,2012,,Open Source,Java,"C,C#,C++,Java,JavaScript,Perl,Python",,Apache v2,"Linux,OS X,Windows",Wide column,Y,apache/drill,apache,drill,Y
drizzle,Drizzle,Drizzle was a fork of MySQL that has now since been abandoned.,Relational,SQL,,http://www.drizzle.org/,,,,US,2008,2012,Open Source,C++,,,"BSD,GPL v2,GPL v3",,Relational,,,,,Y
druid,Druid,"Apache Druid is an open-source distributed real-time analytics database designed for business intelligence (OLAP) queries on streaming and historical data. It is optimized for time series scans and aggregations. It supports loading data from both deep storage system like HDFS and streaming sources like Kafka. Internally, Druid uses Zookeeper for cluster node coordination, a relational database like MySQL or Postgres to keep track of metadata, and a deep storage system such as HDFS for storing data. Druid also has low latency between the event creation and when it can be queried, which makes Druid desirable for real-time analytics. Druid stores incoming data in a unique format called a segment to allow fast aggregations for arbitrary dimensionalities of data. Druid is commonly used to power GUI-based analytical BI apps via JDBC and as a backend for AI apps via REST API. Druid is also used for clickstream analytics, network telemetry analytics, application performance analytics, advertising analytics.",Column Family / Wide-Column,"Custom API,SQL,HTTP / REST",Shared-Nothing,https://druid.apache.org,https://github.com/apache/druid,https://druid.apache.org/docs/latest/design/,Metamarkets,US,2011,,Open Source,Java,"Clojure,Java,JavaScript,PHP,Python,R,Ruby,Scala",,Apache v2,"AIX,BSD,Hosted,HP-UX,Linux,OS X,Solaris",Wide column,Y,apache/druid,apache,druid,Y
duckdb,DuckDB,"DuckDB is a relational embeddable analytical DBMS that focuses on supporting analytical query workloads (OLAP). Similar to SQLite, DuckDB prioritizes simplicity and ease of integration by eliminating external dependencies for compilation and run-time. DuckDB's columnar-vectorized query execution engine reduces the CPU cycles expended per individual value, processing large batches of values in one operation as a vector. This design choice optimizes DuckDB for analytical queries, and in embedded scenarios, it enables high-speed data transfer to and from the database. To provide transactional guarantees (ACID properties), DuckDB employs its custom bulk-optimized multi-version concurrency control (MVCC) and enables data to be stored in persistent, single-file databases. Additionally, DuckDB supports secondary indexes to speed up queries trying to find a single table entry.",Relational,Custom API,Embedded,https://www.duckdb.org/,https://github.com/duckdb/duckdb,https://duckdb.org/docs/,"CWI, DuckDB Labs",NL,2018,,"Academic,Open Source",C++,"C,Java,Julia,Python,R",,MIT,"Linux,OS X,Windows",Relational,Y,duckdb/duckdb,duckdb,duckdb,Y
ductiledb,DuctileDB,DuctileDB is a graph-oriented DBMS built on top HBase.,Graph,Gremlin,Shared-Disk,https://ductiledb.com,https://github.com/PureSolTechnologies/DuctileDB,https://ductiledb.com/documentation,PureSol Technologies,DE,2015,2018,Open Source,Java,,HBase,Apache v2,,Graph,Y,PureSolTechnologies/DuctileDB,PureSolTechnologies,DuctileDB,Y
dybase,DyBASE,DyBASE is a object-oriented embedded DBMS for languages with dynamic type checking.,Object-Oriented,,Embedded,http://www.garret.ru/dybase.html,,,Konstantin Knizhnik,RU,,,Open Source,C++,"PHP,Python,Rebol,Ruby",,,,Object oriented,,,,,
dynomitedb,DynomiteDB,,,,,http://www.dynomitedb.com/,https://github.com/Netflix/dynomite,http://www.dynomitedb.com/docs/,Netflix,US,2012,,Open Source,C,,,Apache v2,,,Y,Netflix/dynomite,Netflix,dynomite,Y
earthstar,Earthstar,Earthstar is a peer-to-peer (P2P) document-oriented database.,Document / XML,Custom API,Embedded,https://earthstar-project.org/,https://github.com/earthstar-project/earthstar,https://doc.deno.land/https://deno.land/x/earthstar@v9.3.3/mod.ts,Earthstar Project,US,2020,,"Academic,Open Source",TypeScript,,SQLite,LGPL v3,,Document,Y,earthstar-project/earthstar,earthstar-project,earthstar,Y
easedb,EaseDB,EaseDB is a small database system for storing hierarchical data with a REST interface.,Document / XML,HTTP / REST,,http://dl.acm.org/citation.cfm?id=1247607,https://github.com/X2rdas/easedb,https://github.com/X2rdas/easedb,Alexander Shakhmatov,RU,2013,2014,Open Source,Ruby,,,MIT,,Document,Y,X2rdas/easedb,X2rdas,easedb,Y
echodb,EchoDB,"EchoDB is an in-memory, multi-versioned key-value embedded DBMS.",Key/Value,Custom API,Embedded,https://crates.io/crates/echodb,https://github.com/surrealdb/echodb,https://docs.rs/echodb/latest/echodb/,SurrealDB Ltd.,GB,2021,,Open Source,Rust,,,Apache v2,,Key-value,Y,surrealdb/echodb,surrealdb,echodb,Y
edgelessdb,EdgelessDB,EdgelessDB is a MySQL-compatible DBMS designed to run inside Intel's SGX secure enclave. It is a fork of MariaDB that uses RocksDB as its internal storage engine.,Relational,SQL,Shared-Everything,https://www.edgeless.systems/products/edgelessdb/,https://github.com/edgelesssys/edgelessdb/,https://docs.edgeless.systems/edgelessdb/,Edgeless Systems,DE,2021,,"Commercial,Open Source",,,RocksDB,GPL v2,,Relational,Y,edgelesssys/edgelessdb,edgelesssys,edgelessdb,Y
edis,Edis,Edis is an Erlang re-implementation of Redis. It uses LevelDB as its backing data store.,Key/Value,,,http://inaka.github.com/edis/,https://github.com/cbd/edis,,Chad DePue,US,2010,2015,"Hobby,Open Source",Erlang,,LevelDB,,,Key-value,Y,cbd/edis,cbd,edis,Y
effiproz,EffiProz,EffiProz is an embedded DBMS written in C#. It supports a SQL dialect that is similar to HSQLDB.,Relational,SQL,Embedded,http://www.effiproz.com,https://bitbucket.org/efz/effiproz,https://archive.codeplex.com/?p=effiproz,EffiProz LLC,US,,2012,"Commercial,Open Source",C#,C#,,,Windows,Relational,,,,,Y
ehcache,Ehcache,Ehcache is an open source Java distributed cache for general purpose caching.,Key/Value,Custom API,,https://www.ehcache.org/,https://github.com/ehcache/ehcache3,https://www.ehcache.org/documentation/,Greg Luck,US,2003,,Open Source,Java,Java,,Apache v2,All OS with Java VM,Key-value,Y,ehcache/ehcache3,ehcache,ehcache3,Y
einsteindb,EinsteinDB,EinsteinDB is a key-value store DBMS that supports partially ordered events.,Key/Value,,,https://www.einsteindb.com/,https://github.com/YosiSF/EinsteinDB,https://www.einsteindb.com/docs,Whtcorps Inc.,US,2019,2022,Open Source,Rust,,FoundationDB,,,Key-value,Y,YosiSF/EinsteinDB,YosiSF,EinsteinDB,Y
ejdb,EJDB,EJDB2 is an embeddable JSON database engine,"Key/Value,Document / XML","Custom API,HTTP / REST",Embedded,http://ejdb.org/,https://github.com/Softmotions/ejdb,https://github.com/Softmotions/ejdb/blob/master/README.md,Softmotions,RU,2012,,Open Source,C,"C,C++,Dart,Java,JavaScript,Kotlin,Swift",,MIT,"Android,BSD,iOS,Linux,OS X,Windows","Key-value,Document",Y,Softmotions/ejdb,Softmotions,ejdb,Y
elara-db,Elara DB,Elara DB is a key-value embedded DBMS written in Python.,Key/Value,Custom API,Embedded,https://pypi.org/project/elara/,https://github.com/saurabh0719/elara,,Saurabh Pujari,IN,2021,,"Hobby,Open Source",Python,Python,,BSD,,Key-value,Y,saurabh0719/elara,saurabh0719,elara,Y
elasql,ElaSQL,ElaSQL is a distributed relational experimental DBMS.,Relational,SQL,,http://www.elasql.org/,https://github.com/elasql/elasql,,National Tsing Hua University,TW,2016,,"Academic,Open Source",Java,,VanillaDB,Apache v2,,Relational,Y,elasql/elasql,elasql,elasql,Y
elasticsearch,Elasticsearch,"Elasticsearch is an open-source full-text search and analytics engine based on Lucene. A few sample use-cases including online web store catalog, collect and analyze logs for data mining, supervise and alerting system, business-intelligence needs.",Document / XML,Custom API,Shared-Nothing,http://www.elasticsearch.org/,https://github.com/elastic/elasticsearch,https://www.elastic.co/guide/index.html,Elasticsearch BV,US,2004,,Open Source,Java,"Java,Python",Lucene,Apache v2,All OS with Java VM,Document,Y,elastic/elasticsearch,elastic,elasticsearch,Y
elephantdb,ElephantDB,ElephantDB is a database that provides an API for reading key/value data from Hadoop. ElephantDB server does not support random writes.,Key/Value,,,https://github.com/nathanmarz/elephantdb,https://github.com/nathanmarz/elephantdb,,Nathan Marz,US,2011,,Open Source,Clojure,,,BSD,,Key-value,Y,nathanmarz/elephantdb,nathanmarz,elephantdb,Y
elevator,Elevator,"Elevator is an open-source, on-disk key-value store.",Key/Value,"Custom API,Command-line / Shell",,https://elevator.readthedocs.io/,https://github.com/oleiade/Elevator,https://elevator.readthedocs.io/,Théo Crevon,DE,2012,2014,Open Source,,,,MIT,,Key-value,Y,oleiade/Elevator,oleiade,Elevator,Y
eliasdb,EliasDB,EliasDB is a lightweight graph-based database written in Go.,Graph,,,https://github.com/krotik/eliasdb,https://github.com/krotik/eliasdb,https://godoc.org/devt.de/eliasdb,Matthias Ladkau,GB,2016,,Open Source,Go,,,Mozilla Public License,,Graph,Y,krotik/eliasdb,krotik,eliasdb,Y
elliptics,Elliptics,Elliptics is a fault-tolerant distributed key/value (no-relational) database system. The core storage engine is a hash table. All keys are hashed into 512-bit ids via sha512 algorithm by default.,Key/Value,"Custom API,Command-line / Shell",Shared-Disk,http://reverbrain.com/elliptics/,https://github.com/reverbrain/elliptics,http://doc.reverbrain.com/elliptics:elliptics,Reverbrain,RU,2009,2019,"Commercial,Open Source","C++,Python","C,C++,Python",,LGPL v3,Linux,Key-value,Y,reverbrain/elliptics,reverbrain,elliptics,Y
endatabas,Endatabas,Endatabas is a columnar DBMS that supports SQL.,"Relational,Document / XML","SQL,HTTP / REST",,https://www.endatabas.com,https://github.com/endatabas/endb,https://docs.endatabas.com,Håkan Råberg,SE,2023,,"Commercial,Open Source","Lisp,Rust",,,AGPL v3,"Linux,OS X","Relational,Document",Y,endatabas/endb,endatabas,endb,Y
engula,Engula,Engula is a distributed key-value DBMS.,Key/Value,Custom API,Shared-Nothing,https://www.engula.io,https://github.com/engula/engula,https://www.engula.io/blog/,Huachao Huang,CN,2022,,"Hobby,Open Source",Rust,,,Apache v2,Linux,Key-value,Y,engula/engula,engula,engula,Y
ennodb,EnnoDB,EnnoDB was a key/value NoSQL database designed to run on a web server.,Key/Value,HTTP / REST,,https://github.com/badgerman/ennodb,https://github.com/badgerman/ennodb,,Enno Rehling,NO,2012,2016,"Hobby,Open Source",C,,,ISC License,Linux,Key-value,Y,badgerman/ennodb,badgerman,ennodb,Y
epsilla,Epsilla,Epsilla is vector DBMS designed to support LLMs.,Array / Matrix,Custom API,Shared-Everything,https://www.epsilla.com/,https://github.com/epsilla-cloud/vectordb,https://epsilla-inc.gitbook.io/,"Epsilla, Inc.",US,2023,,"Commercial,Open Source",C++,Python,,GPL v3,,Array,Y,epsilla-cloud/vectordb,epsilla-cloud,vectordb,Y
etcd,etcd,"etcd is a distributed key-value store which is highly available, strongly consistent, and watchable for changes. The name ""etcd"" was from a unix's configuration directory, ""etc"" and ""d""istributed system. There are two major use cases: concurrency control in the distributed system and application configuration store. For example, CoreOS Container Linux uses etcd to achieve a global semaphore to avoid that all nodes in the cluster rebooting at the same time. Also, Kubernetes use etcd for their configuration store.",Key/Value,RPC,Shared-Nothing,https://etcd.io/,https://github.com/coreos/etcd,https://etcd.io/docs/latest/,CoreOS,US,2013,,Open Source,Go,,,Apache v2,Linux,Key-value,Y,coreos/etcd,coreos,etcd,Y
euclidesdb,EuclidesDB,EuclidesDB is a multi-model machine learning feature DBMS designed to interoperate with PyTorch applications. It provides a query interface for searching for multi-dimensional model features.,Array / Matrix,"Custom API,HTTP / REST",Shared-Everything,http://euclidesdb.readthedocs.io/,https://github.com/perone/euclidesdb,,Christian S. Perone,PT,2018,,Open Source,C++,Python,LevelDB,Apache v2,"Linux,OS X",Array,Y,perone/euclidesdb,perone,euclidesdb,Y
euclidolap,EuclidOLAP,EuclidOLAP is an in-memory multi-dimensional database management system for data cubes.,Array / Matrix,Custom API,,http://www.euclidolap.com/,https://github.com/EuclidOLAP/EuclidOLAP,http://www.euclidolap.com/doc,Chen Zhigang,CN,2022,,"Hobby,Open Source",C,,,Apache v2,Linux,Array,Y,EuclidOLAP/EuclidOLAP,EuclidOLAP,EuclidOLAP,Y
eva-db,EVA DB,"EVA DB is a relational DBMS designed to operate on both structured (tables, feature vectors) and unstructured data (videos, podcasts, PDFs, etc.) using deep learning models.",Relational,SQL,Shared-Everything,https://evadb.readthedocs.io/,https://github.com/georgia-tech-db/eva,https://evadb.readthedocs.io/,Georgia Institute of Technology,US,2018,,"Academic,Open Source",Python,,,Apache v2,Linux,Relational,Y,georgia-tech-db/eva,georgia-tech-db,eva,Y
