Name,card_title,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Twitter,Compression,Storage Architecture,Storage Model,Checkpoints,Concurrency Control,Foreign Keys,Indexes,Isolation Levels,Joins,Logging,Query Compilation,Query Execution,Stored Procedures,Views,Derived From,Wikipedia,Storage Organization,Inspired By,Parallel Execution,Storage Format,Acquired By,Compatible With,Former Name
mondrian,Mondrian,Mondrian is an OLAP query execution engine written in Java.,Relational,,,https://mondrian.pentaho.com/,https://github.com/pentaho/mondrian,https://mondrian.pentaho.com/documentation/,Pentaho,US,2002.0,,"Commercial,Open Source",Java,,,Eclipse Public License,,@MondrianOLAP,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Mondrian_OLAP_server,,,,,,,
monetdb,MonetDB,,Column Family,SQL,,https://www.monetdb.org/,https://github.com/MonetDB/MonetDB,https://www.monetdb.org/Documentation,CWI,NL,2002.0,,"Academic,Open Source",C,"Java,JavaScript,Perl,PHP,Python,R,Ruby",,Mozilla Public License,"Linux,OS X,Windows",@MonetDB,,Disk-oriented,Decomposition Storage Model (Columnar),,Optimistic Concurrency Control (OCC),Supported,Hash Table,Serializable,Hash Join,Physical Logging,Code Generation,,Supported,Virtual Views,,https://en.wikipedia.org/wiki/MonetDB,,,,,,,
mongodb,MongoDB,"MongoDB is a free and open-source cross-platform document-oriented program. It is a NoSQL database uses JSON-like documents with schemas-less. Ad hoc queries, indexing and real time aggregation provide powerful ways to access and analyze the data. It is a distributed database at its core that provides high availability, horizontal scaling, and geographic distribution.",Document / XML,Custom API,,http://www.mongodb.com,https://github.com/mongodb/mongo,https://docs.mongodb.com/,MongoDB Inc.,US,2009.0,,"Commercial,Open Source",,"ActionScript,C++,Clojure,D,Dart,Delphi,Erlang,Go,Groovy,Haskell,Java,JavaScript,Lisp,Lua,Matlab,Perl,PHP,Prolog,Python,R,Ruby,Scala,Smalltalk",,Server Side Public License,"Linux,OS X,Solaris,Windows",@MongoDB,,Hybrid,Custom,Consistent,"Two-Phase Locking (Deadlock Prevention),Optimistic Concurrency Control (OCC)",,B+Tree,Read Uncommitted,Not Supported,Physiological Logging,JIT Compilation,,Not Supported,Virtual Views,,https://en.wikipedia.org/wiki/MongoDB,,,,,,,
mulgara,Mulgara,Mulgara is a RDF DBMS written entirely in Java,Triplestore (RDF),SPARQL,,http://www.mulgara.org/,https://github.com/quoll/mulgara,http://mulgara.org/documentation.html,,US,2006.0,,Open Source,Java,,,Open Software License 3.0,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Mulgara_(software),,,,,,,
mutable,mutable,mutable is an academic DBMS designed to support rapid prototyping of research ideas while also maintaining performance that is competitive with state-of-the-art systems.,,,,https://bigdata.uni-saarland.de/projects/mutable,,,Saarland University,DE,2019.0,,"Academic,Open Source",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysql,MySQL,"MySQL is an open-source relational database management system. MySQL is used in many web applications and websites, and there are several commercial databases that are compatible with it. Users interact with the database through SQL. The default version of MySQL uses InnoDB as a storage engine. However, the MySQL storage engine architecture is pluggable, allowing for a specialized storage engine to be used. MySQL has been actively updated and supported since 1995, with new versions being released every 1-3 years. Several MySQL forks exist, most notably MariaDB, which is led by the original MySQL developers. Oracle, which acquired MySQL in 2010, offers several paid editions of the DBMS that offer additional features.",Relational,SQL,,https://www.mysql.com,https://github.com/mysql/mysql-server,https://dev.mysql.com/doc/,MySQL AB,SE,1994.0,,Open Source,"C,C++",,,GPL v2,"BSD,Linux,OS X,Windows",@MySQL,,Disk-oriented,N-ary Storage Model (Row/Record),Fuzzy,"Multi-version Concurrency Control (MVCC),Two-Phase Locking (Deadlock Detection)",Supported,"B+Tree,R-Tree,Inverted Index (Full Text)","Read Uncommitted,Read Committed,Serializable,Repeatable Read",Nested Loop Join,"Physical Logging,Physiological Logging",Not Supported,,Supported,Virtual Views,,https://en.wikipedia.org/wiki/MySQL,,,,,,,
nanolat,Nanolat,"Nanolat is an in-memory key/value store that supports,PUT,/,GET,/,DEL,and range search on cursors.",Key/Value,,,http://nanolat.com/index/0-2,https://github.com/Nanolat/nldb,,,KR,2012.0,,Open Source,,,,Apache v2,,@nanolat_feed,,,,,,,,,,,,,,,,,,,,,,,
ncache,NCache,NCache is a distributed cache for .NET and Java. It is an open source product released under the Apache 2.0 license.,Key/Value,,,http://www.alachisoft.com/ncache/,https://github.com/Alachisoft/NCache/,http://www.alachisoft.com/resources/videos/distributed-cache-architecture.html,Alachisoft,US,2015.0,,"Commercial,Open Source",,,,"Apache v2,Proprietary",Windows,@NCache,,,,,,,,,,,,,,,,,,,,,,,
ndatabase,NDatabase,NDatabase is a object-oriented DBMS written in C# for the .NET environment.,Object-Oriented,Custom API,Embedded,http://ndatabase.net,https://archive.codeplex.com/?p=ndatabase,,Jacek Spólnik,PL,,,"Commercial,Open Source",C#,,,LGPL v2,Windows,,,In-Memory,,,,,B+Tree,,,,,,,,,,,,,,,,
ndb-cluster,NDB Cluster,NDB Cluster is a distributed DBMS that backs the MySQL Cluster product. It can be used independently of a MySQL via a C++ API.,Key/Value,Custom API,Shared-Nothing,,https://dev.mysql.com/downloads/cluster/,https://dev.mysql.com/doc/refman/8.0/en/mysql-cluster.html,Oracle,SE,,,"Commercial,Open Source",C++,,,GPL v2,,,,Disk-oriented,N-ary Storage Model (Row/Record),,,,,,Not Supported,,,,Not Supported,,,https://en.wikipedia.org/wiki/NDB_Cluster,Heaps,,,,"MySQL AB, Oracle",,
