Name,card_title,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Concurrency Control,Foreign Keys,Indexes,Isolation Levels,Joins,Logging,Query Compilation,Query Execution,Storage Architecture,Storage Model,Storage Organization,Stored Procedures,Views,Twitter,Inspired By,Compatible With,Wikipedia,Checkpoints,Compression,Former Name,Derived From,Storage Format
tokyo-cabinet,Tokyo Cabinet,"Tokyo Cabinet is an,embedded,key-value store,written in C, with native support for C and C++ and wrapper APIs for other languages. Keys and values are,NULL,-terminated strings or arbitrary sequences of bytes and generally have variable size. Tokyo Cabinet is not a relational database management system; It is a dedicated key-value store similar to,LevelDB,RocksDB, etc. An application uses a custom non-SQL API to invoke insert, delete, update operations on data and other management functions. Tokyo Cabinet supports concurrent access. It also implements a thin ""table"" abstraction which simulates columns over a key-value store and transactions with ACID properties and write-ahead logging. The key-value storage layer is built on top of three fundamental data structures: (1) a static hash table with separate chaining (every bucket is a binary search tree), (2) a non-concurrent B+ tree, and, (3) a fixed-size array. Necessary data retrieval and management functions --,get,put,delete,update,range,queries -- are supported by all three data structures, albeit with specific properties.",,,,http://fallabs.com/tokyocabinet/,https://fallabs.com/tokyocabinet/,,FAL Labs,JP,2006.0,,Open Source,C,,,,,,,,,,,,,,,,,,,,,,,,,,
tokyo-tyrant,Tokyo Tyrant,,,,,http://fallabs.com/tokyotyrant/,,,,JP,,,Open Source,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomp2p,TomP2P,"TomP2P is a distributed hash table with additional features, such as storing multiple values for a key.",,,,http://tomp2p.net/,https://github.com/tomp2p/TomP2P,,Thomas Bocek,CH,2004.0,,Open Source,Java,,,,,,,,,,,,,,,,,,,,,,,,,,
torodb,ToroDB,ToroDB is a middleware layer that turns Postgres into a MongoDB-compatible server.,,,,https://www.torodb.com/,https://github.com/torodb/server,,8Kdata,ES,,,Open Source,Java,,,,,,,,,,,,,,,,,,,,,,,,,,
trafodion,Trafodion,"Trafodion is an open-source webscale SQL-on-Hadoop DBMS solution that extends and builds on Apache Hadoop. Its name is the Welsh word for ""transactions"" (pronounced ""Tra-vod-eee-on"") because the developers wanted to emphasize the fact that one specific way it extended Hadoop was through guaranteed transactional integrity. By doing so, it targets big data transactional and operational workloads rather than analytic workloads. It is ACID-compliant and has fully-functional ANSI SQL support",,,,https://trafodion.apache.org/,https://github.com/apache/trafodion,,Hewlett-Packard Company,US,2014.0,2021.0,Open Source,"C++,Java",,,,,,,,,,,,,,,,,,,,,,,,,,
traildb,TrailDB,"TrailDB is a portable C library that allows querying a series of relative events. It is used to group the existing relative events in a time-series format and produce an immutable database with high compression rate. It is designed as a complement to current existing relational databases or key-value stores and targeted for OLAP workload such as analyzing usage patterns, predicting user behavior, and detecting anomalies. One key design feature is that the database is immutable once produced. This immutability feature enables data compression. TrailDB leverages relativity among time-series events to achieve high compression. These two key features allow TrailDB to achieve good performance in OLAP workload.",,,,http://traildb.io/,https://github.com/traildb/traildb,,AdRoll Inc.,US,2014.0,,"Commercial,Open Source",C,,,,,,,,,,,,,,,,,,,,,,,,,,
treodedb,TreodeDB,TreodeDB is a distributed key-value store that provides atomic multi-row writes.,,,,http://www.treode.com,https://github.com/Treode/store,,"Treode, Inc.",US,2012.0,2015.0,"Commercial,Open Source",Scala,,,,,,,,,,,,,,,,,,,,,,,,,,
trino,Trino,Trino is a distributed SQL query engine designed to run on disparate storage systems.,,,,https://trino.io/,https://github.com/trinodb/trino,,Trino Software Foundation,US,2019.0,,Open Source,Java,,,,,,,,,,,,,,,,,,,,,,,,,,
trousseau,Trousseau,Trousseau is an encrypted key-value store engine that stores the database in a single file,,,,https://github.com/oleiade/trousseau,https://github.com/oleiade/trousseau,,Théo Crevon,DE,2013.0,,Open Source,Go,,,,,,,,,,,,,,,,,,,,,,,,,,
ts-sql,ts-sql,ts-sql is simple relational DBMS supporting SQL written in TypeScript.,,,,https://github.com/codemix/ts-sql,https://github.com/codemix/ts-sql,,Charles Pick,GB,2020.0,,"Hobby,Open Source",TypeScript,,,,,,,,,,,,,,,,,,,,,,,,,,
twig,Twig,Object Datastore for Google App Engine.,,,,https://code.google.com/archive/p/twig-persist/,https://code.google.com/archive/p/twig-persist/source/default/source,,John Patterson,US,2009.0,2013.0,Open Source,Java,,,,,,,,,,,,,,,,,,,,,,,,,,
typedb,TypeDB,"TypeDB is a strongly-typed database with a rich and logical type system. TypeDB empowers you to tackle complex problems, and TypeQL is its query language.",,,,https://vaticle.com/typedb,https://github.com/vaticle/typedb,,Vaticle,GB,2016.0,,"Commercial,Open Source",,,,,,,,,,,,,,,,,,,,,,,,,,,
typhoon,Typhoon,Typhoon is a freely available relational database management system for the UNIX and OS/2 environments.,,,,https://web.archive.org/web/19990224055253/http://www.belle.dk:80/~tbp/,https://github.com/jonahharris/osdb-typhoon,,"Thomas B. Pedersen, Kaz Kylheku",DK,1996.0,1999.0,Open Source,,,,,,,,,,,,,,,,,,,,,,,,,,,
unqlite,UnQLite,UnQLite is an embedded NoSQL (Key/Value store and Document-store) database engine.,,,,https://unqlite.org/,https://github.com/symisc/unqlite,,Symisc Systems,TN,,,"Commercial,Open Source",C,,,,,,,,,,,,,,,,,,,,,,,,,,
upscaledb,upscaledb,,,,,https://upscaledb.com,https://github.com/cruppstahl/upscaledb,,Christoph Rupp,DE,2007.0,,"Commercial,Open Source","C,C++",,,,,,,,,,,,,,,,,,,,,,,,,,
vanilladb,VanillaDB,"VanillaDB is a single node, multi-threaded relational database engine that partially supports the SQL-92 standard.",,,,http://www.vanilladb.org/,https://github.com/vanilladb/vanillacore,,National Tsing Hua University,TW,2016.0,,"Academic,Open Source",Java,,,,,,,,,,,,,,,,,,,,,,,,,,
vectorsql,VectorSQL,VectorSQL is an analytics DBMS designed for IoT data.,Relational,SQL,,https://github.com/vectorengine/vectorsql,https://github.com/vectorengine/vectorsql,,Bohu Tang,CN,2020.0,,"Hobby,Open Source",Go,,,Apache v2,Linux,,,,,,,,,,,,,,,,,,,,,,
velox,Velox,Velox is an embeddable vectorized execution engine library for OLAP systems.,Relational,Custom API,Embedded,https://facebookincubator.github.io/velox/,https://github.com/facebookincubator/velox,,Facebook,US,2020.0,,"Industrial Research,Open Source",C++,,,Apache v2,Linux,,,,,,,,Vectorized Model,,Decomposition Storage Model (Columnar),,,,,,,,,,,,
veloxdb,VeloxDB,VeloxDB is an in-memory object-oriented DBMS.,Object-Oriented,Custom API,Shared-Everything,https://www.vlxdb.com/,https://github.com/VeloxDB/VeloxDB,,VeloxDB,RS,2022.0,,"Commercial,Open Source",C#,,,MIT,"Linux,Windows",,,,,,,,,In-Memory,N-ary Storage Model (Row/Record),,,,,,,,,,,,
vertexdb,VertexDB,,Graph,,,http://www.dekorte.com/projects/opensource/vertexdb/,https://github.com/stevedekorte/vertexdb,,"Steve Dekorte, Rich Collins",US,,,"Hobby,Open Source",,,,,,,,,,,,,,,,,,,,,,,,,,,
vespa,Vespa,Vespa is a document-oriented search engine that supports a SQL dialect (YQL).,Document / XML,"Custom API,SQL",,https://vespa.ai/,https://github.com/vespa-engine/vespa,,Yahoo!,NO,1997.0,,Open Source,C++,,,Apache v2,Linux,,,,,,,,,,,,,,,,,,,,,,
victoriametrics,VictoriaMetrics,VictoriaMetrics is time series database management system that is designed as a storage back-end for Prometheus.,Column Family,"Custom API,PromQL",,https://victoriametrics.com,https://github.com/VictoriaMetrics/VictoriaMetrics,,VictoriaMetrics,UA,2018.0,,Open Source,Go,,,Apache v2,,,,"Inverted Index (Full Text),Log-Structured Merge Tree",,,Not Supported,,,,,,,,,,,,"Non-Blocking,Consistent",,,,
